id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
susds,susds,sUSDS,https://coin-images.coingecko.com/coins/images/52721/large/sUSDS_Coin.png?1734086971,1.058,2360586963,51,2360586963,2634531.0,1.058,1.058,0.00015445,0.0146,2035688.0,0.08631,2231162865.384995,2231162865.384995,,1.088,-2.74531,2025-02-03T02:31:35.208Z,0.961716,10.01665,2025-01-04T01:21:08.460Z,,2025-07-06T13:01:32.040Z
usd1-wlfi,usd1,USD1,https://coin-images.coingecko.com/coins/images/54977/large/USD1_1000x1000_transparent.png?1749297002,0.999814,2203664929,52,2203664929,306559768.0,1.001,0.998953,0.0002451,0.02452,-1751660.605231762,-0.07943,2203847519.0,2203847519.0,,1.025,-2.4182,2025-05-12T12:36:39.412Z,0.989703,1.04482,2025-04-16T00:36:15.580Z,,2025-07-06T13:01:32.951Z
kaspa,kas,Kaspa,https://coin-images.coingecko.com/coins/images/25751/large/kaspa-icon-exchanges.png?1696524837,0.075726,1996878010,53,2000478438,36315311.0,0.075768,0.073914,0.00030424,0.40339,7176615.0,0.36069,26363807936.34678,26411342629.43956,28704026601.0,0.207411,-63.52418,2024-08-01T00:40:47.164Z,0.00017105,44129.79251,2022-05-26T14:42:59.316Z,,2025-07-06T13:01:28.293Z
fasttoken,ftn,Fasttoken,https://coin-images.coingecko.com/coins/images/28478/large/lightenicon_200x200.png?1696527472,4.44,1912215025,54,3861777044,56551891.0,4.45,4.43,0.0007339,0.01655,1543336.0,0.08077,431160771.8,870742437.0,1000000000.0,4.46,-0.44813,2025-06-20T17:40:54.918Z,0.398142,1015.79749,2023-01-21T10:15:39.503Z,,2025-07-06T13:01:26.697Z
mantle,mnt,Mantle,https://coin-images.coingecko.com/coins/images/30980/large/Mantle-Logo-mark.png?1739213200,0.562357,1894292586,55,3500274929,133274457.0,0.570054,0.556875,-0.004720800561496263,-0.83248,-15596353.250946999,-0.81661,3365794382.83684,6219316794.99,6219316794.99,1.54,-63.39597,2024-04-08T09:45:25.482Z,0.307978,82.88059,2023-10-18T02:50:46.942Z,,2025-07-06T13:01:29.148Z
cosmos,atom,Cosmos Hub,https://coin-images.coingecko.com/coins/images/1481/large/cosmos_hub.png?1696502525,4.02,1840575933,56,1840575933,41294425.0,4.02,3.95,0.02031652,0.50748,9759592.0,0.53307,457499179.941541,457499179.941541,,44.45,-90.94624,2022-01-17T00:34:41.497Z,1.16,246.8977,2020-03-13T02:27:44.591Z,"{'times': 39.2369325062947, 'currency': 'usd', 'percentage': 3923.69325062947}",2025-07-06T13:01:26.092Z
gatechain-token,gt,Gate,https://coin-images.coingecko.com/coins/images/8183/large/200X200.png?1735246724,15.28,1824627442,57,4582768193,3239853.0,15.32,15.04,-0.031923052677043984,-0.20853,-33001710.539421797,-1.77655,119444887.81900902,300000000.0,,25.94,-41.24403,2025-01-25T03:07:37.823Z,0.25754,5817.89489,2020-03-13T02:18:02.481Z,,2025-07-06T13:01:27.581Z
vechain,vet,VeChain,https://coin-images.coingecko.com/coins/images/1167/large/VET.png?1742383283,0.02067684,1776531644,58,1776531644,18694522.0,0.0207569,0.02040884,-3.6374229923617e-05,-0.17561,-5231167.123739004,-0.2936,85985041177.0,85985041177.0,86712634466.0,0.280991,-92.64665,2021-04-19T01:08:21.675Z,0.00191713,977.76852,2020-03-13T02:29:59.652Z,"{'times': 1.87139154007711, 'currency': 'eth', 'percentage': 187.139154007711}",2025-07-06T13:01:33.249Z
fetch-ai,fet,Artificial Superintelligence Alliance,https://coin-images.coingecko.com/coins/images/5681/large/ASI.png?1719827289,0.662595,1722497525,59,1794926059,80383414.0,0.671139,0.647959,-0.007260161654095709,-1.08384,-23195907.85267949,-1.32875,2604959126.672,2714493896.672,2714493896.672,3.45,-80.81742,2024-03-28T17:21:18.050Z,0.00816959,8010.49736,2020-03-13T02:24:18.347Z,"{'times': 6.64238351258201, 'currency': 'usd', 'percentage': 664.2383512582011}",2025-07-06T13:01:27.232Z
bonk,bonk,Bonk,https://coin-images.coingecko.com/coins/images/28600/large/bonk.jpg?1696527587,2.225e-05,1718205027,60,1970686613,1359150128.0,2.225e-05,1.784e-05,4.28e-06,23.85166,325877000.0,23.40519,77419592329436.58,88796011984977.4,88796011984977.4,5.825e-05,-62.36989,2024-11-20T04:01:06.465Z,8.6142e-08,25345.75575,2022-12-29T22:48:46.755Z,,2025-07-06T13:01:25.127Z
official-trump,trump,Official Trump,https://coin-images.coingecko.com/coins/images/53746/large/trump.png?1737171561,8.53,1706956308,61,8534782582,102469043.0,8.59,8.45,-0.05552492129344344,-0.64641,-10627125.54350543,-0.61873,199999975.635993,1000000000.0,1000000000.0,73.43,-88.38923,2025-01-19T11:50:34.806Z,4.29,98.70675,2025-01-18T03:40:29.231Z,,2025-07-06T13:01:30.289Z
lombard-staked-btc,lbtc,Lombard Staked BTC,https://coin-images.coingecko.com/coins/images/39969/large/LBTC_Logo.png?1724959872,108161.0,1649782362,62,1649782362,4147240.0,109014.0,107342.0,53.71,0.04968,-45921040.814817905,-2.70808,15252.22409290004,15252.22409290004,,114576.0,-5.49833,2025-02-04T01:47:44.052Z,52119.0,107.74607,2024-09-06T21:01:52.094Z,,2025-07-06T13:01:28.680Z
render-token,render,Render,https://coin-images.coingecko.com/coins/images/11636/large/rndr.png?1696511529,3.18,1648937065,63,1695911096,37663830.0,3.18,3.11,0.03693732,1.1739,19227543.0,1.17981,518128769.0562826,532888942.3362826,644245094.0,13.53,-76.55846,2024-03-17T16:30:24.636Z,0.03665669,8555.28492,2020-06-16T13:22:25.900Z,,2025-07-06T13:01:31.580Z
polygon-ecosystem-token,pol,POL (ex-MATIC),https://coin-images.coingecko.com/coins/images/32440/large/polygon.png?1698233684,0.182062,1638506231,64,1903762107,43948282.0,0.183145,0.179965,0.00162119,0.89846,14065179.0,0.86585,9001644142.078703,10458909885.58597,,1.29,-85.89793,2024-03-13T18:55:06.692Z,0.153392,18.37179,2025-04-07T07:06:08.017Z,,2025-07-06T13:01:31.323Z
ethena,ena,Ethena,https://coin-images.coingecko.com/coins/images/36530/large/ethena.png?1711701436,0.257286,1634378233,65,3857888133,65978652.0,0.257275,0.249798,0.00416934,1.6472,23616279.0,1.46616,6354687500.0,15000000000.0,,1.52,-83.12924,2024-04-11T13:15:15.057Z,0.195078,31.25413,2024-09-06T21:04:48.253Z,,2025-07-06T13:01:26.625Z
tokenize-xchange,tkx,Tokenize Xchange,https://coin-images.coingecko.com/coins/images/4984/large/TKX_-_Logo_-_RGB-15.png?1696505519,20.39,1631046849,66,2038910564,4157999.0,21.35,14.89,-0.9629974832413524,-4.51008,-77035944.5126214,-4.51008,79995997.76037452,100000000.0,100000000.0,50.43,-59.57056,2025-01-03T19:12:43.038Z,0.111255,18226.51449,2019-04-28T00:00:00.000Z,"{'times': 69.18625003618241, 'currency': 'usd', 'percentage': 6918.625003618241}",2025-07-06T13:01:32.582Z
sky,sky,Sky,https://coin-images.coingecko.com/coins/images/39925/large/sky.jpg?1724827980,0.076384,1626210415,67,1792293031,6884421.0,0.077175,0.075323,-0.000683743069250675,-0.8872,-14423880.6221807,-0.87916,21288500130.63886,23462665147.36596,,0.100535,-23.99854,2024-12-04T10:13:57.264Z,0.03582727,113.2684,2025-02-03T05:01:48.626Z,,2025-07-06T13:01:31.397Z
arbitrum,arb,Arbitrum,https://coin-images.coingecko.com/coins/images/16547/large/arb.jpg?1721358242,0.327782,1625510087,68,3275099824,108790774.0,0.331524,0.320879,0.00342843,1.057,14552089.0,0.90332,4963238296.0,10000000000.0,10000000000.0,2.39,-86.32851,2024-01-12T12:29:59.231Z,0.245747,32.97707,2025-04-07T07:01:34.124Z,,2025-07-06T13:01:35.191Z
quant-network,qnt,Quant,https://coin-images.coingecko.com/coins/images/3370/large/5ZOu7brX_400x400.jpg?1696504070,107.26,1559390810,69,1566715573,9429514.0,107.79,106.11,0.801885,0.75322,12206928.0,0.78898,14544176.164091088,14612493.0,14612493.0,427.42,-74.90648,2021-09-11T09:15:00.668Z,0.215773,49607.41201,2018-08-23T00:00:00.000Z,"{'times': 17.300219615312017, 'currency': 'eth', 'percentage': 1730.0219615312017}",2025-07-06T13:01:30.705Z
filecoin,fil,Filecoin,https://coin-images.coingecko.com/coins/images/12817/large/filecoin.png?1696512609,2.26,1538161498,70,4431699952,88523292.0,2.26,2.21,0.01454786,0.64721,9663072.0,0.63219,680033743.0,1959290692.0,1959290692.0,236.84,-99.04642,2021-04-01T13:29:41.564Z,1.98,13.78673,2025-06-22T20:30:12.846Z,,2025-07-06T13:01:27.387Z
binance-peg-weth,weth,Binance-Peg WETH,https://coin-images.coingecko.com/coins/images/39580/large/weth.png?1723006716,2518.77,1524821306,71,1524821306,19986951.0,2524.32,2489.55,1.009,0.04009,2395111.0,0.15732,604999.999959841,604999.999959841,,4098.26,-38.53186,2024-12-06T20:27:27.286Z,1394.32,80.67068,2025-04-09T01:32:41.942Z,,2025-07-06T13:01:35.610Z
algorand,algo,Algorand,https://coin-images.coingecko.com/coins/images/4380/large/download.png?1696504978,0.176421,1522220772,72,1522254344,25858746.0,0.176214,0.172812,0.00276639,1.59305,21543961.0,1.43562,8636828328.422375,8637018812.962172,10000000000.0,3.56,-95.04696,2019-06-20T14:51:19.480Z,0.087513,101.5524,2023-09-11T19:42:08.247Z,"{'times': -0.9264914225750628, 'currency': 'usd', 'percentage': -92.64914225750627}",2025-07-06T13:01:34.624Z
jupiter-perpetuals-liquidity-provider-token,jlp,Jupiter Perpetuals Liquidity Provider Token,https://coin-images.coingecko.com/coins/images/33094/large/jlp.png?1700631386,4.46,1513980935,73,1513980935,16807472.0,4.46,4.43,0.00279812,0.06272,1605404.0,0.10615,339382606.470974,339382606.470974,,5.03,-11.23495,2025-01-19T14:31:08.348Z,0.146839,2939.06331,2023-11-24T05:55:06.706Z,,2025-07-06T13:01:28.112Z
worldcoin-wld,wld,Worldcoin,https://coin-images.coingecko.com/coins/images/31069/large/worldcoin.jpeg?1696529903,0.876223,1481862521,74,8753497838,72276820.0,0.87606,0.857795,0.00496715,0.57011,6910018.0,0.46849,1692880432.601705,10000000000.0,10000000000.0,11.74,-92.54348,2024-03-10T00:10:42.330Z,0.583741,49.97072,2025-04-07T07:06:11.379Z,,2025-07-06T13:01:33.702Z
first-digital-usd,fdusd,First Digital USD,https://coin-images.coingecko.com/coins/images/31079/large/FDUSD_icon_black.png?1731097953,0.998161,1469322860,75,1469322860,1738893994.0,1.0,0.995817,-0.00048211381151364,-0.04828,-1323649.9888708591,-0.09,1472452121.200668,1472452121.200668,,1.15,-13.32961,2025-02-03T02:30:49.959Z,0.940377,6.11321,2024-12-05T22:30:51.394Z,,2025-07-06T13:01:26.984Z
sei-network,sei,Sei,https://coin-images.coingecko.com/coins/images/28205/large/Sei_Logo_-_Transparent.png?1696527207,0.263656,1464766053,76,2635919916,99010068.0,0.268378,0.258961,0.00246677,0.94444,13741907.0,0.94705,5556944444.0,10000000000.0,,1.14,-76.90064,2024-03-16T02:30:23.904Z,0.095364,176.06667,2023-10-19T08:05:30.655Z,,2025-07-06T13:01:32.253Z
usdtb,usdtb,USDtb,https://coin-images.coingecko.com/coins/images/52804/large/USDtbSmall.png?1734344946,0.999717,1458743177,77,1458743177,1241696.0,1.0,0.999473,-9.1643129364494e-05,-0.00917,-386647.1786468029,-0.0265,1459162933.158057,1459162933.158057,,1.018,-1.7312,2024-12-20T13:43:38.196Z,0.986986,1.31552,2025-02-03T01:56:29.640Z,,2025-07-06T13:01:33.028Z
kucoin-shares,kcs,KuCoin,https://coin-images.coingecko.com/coins/images/1047/large/sa9z79.png?1696502152,11.05,1407088574,78,1572670975,472203.0,11.05,10.96,0.056017,0.5095,6613053.0,0.4722,127467221.7819991,142467221.7819991,,28.83,-61.6722,2021-12-01T15:09:35.541Z,0.342863,3122.82043,2019-02-07T00:00:00.000Z,,2025-07-06T13:01:28.289Z
binance-staked-sol,bnsol,Binance Staked SOL,https://coin-images.coingecko.com/coins/images/40132/large/bnsol.png?1725968367,157.36,1380475995,79,1380475995,1155174.0,157.36,154.94,0.271846,0.17305,2947121.0,0.21394,8771216.417270005,8771216.417270005,,297.96,-47.25746,2025-01-19T11:30:53.744Z,100.21,56.81947,2025-04-07T06:56:20.488Z,,2025-07-06T13:01:35.104Z
usdt0,usdt0,USDT0,https://coin-images.coingecko.com/coins/images/53705/large/usdt0.jpg?1737086183,1.0,1364318589,80,1364258269,70129637.0,1.001,0.999247,-0.000515813222249806,-0.05155,23948658.0,1.78672,1364018480.721204,1363958174.04366,,1.052,-4.90986,2025-01-23T22:34:53.341Z,0.975737,2.52601,2025-02-28T01:35:58.101Z,,2025-07-06T13:01:33.297Z
jupiter-exchange-solana,jup,Jupiter,https://coin-images.coingecko.com/coins/images/34188/large/jup.png?1704266489,0.445381,1338156327,81,3117027565,34361280.0,0.446881,0.428036,0.00964565,2.21365,29330770.0,2.241,3004799999.98,6999215443.766739,10000000000.0,2.0,-77.8211,2024-01-31T15:02:47.304Z,0.306358,44.79164,2025-04-07T06:56:22.719Z,,2025-07-06T13:01:28.491Z
nexo,nexo,NEXO,https://coin-images.coingecko.com/coins/images/3695/large/CG-nexo-token-200x200_2x.png?1730414360,1.21,1215704921,82,1215704921,12486183.0,1.25,1.2,0.00095879,0.07899,1217644.0,0.10026,1000000000.0,1000000000.0,1000000000.0,4.07,-70.13645,2021-05-12T14:37:47.535Z,0.04515276,2590.5116,2018-09-13T00:00:00.000Z,"{'times': 11.14823643447891, 'currency': 'usd', 'percentage': 1114.823643447891}",2025-07-06T13:01:30.130Z
kelp-dao-restaked-eth,rseth,Kelp DAO Restaked ETH,https://coin-images.coingecko.com/coins/images/33800/large/Icon___Dark.png?1702991855,2642.22,1206750569,83,1206750569,229735.0,2647.64,2609.79,1.93,0.07308,123307.0,0.01022,456900.8692351945,456900.8692351945,,4216.2,-37.32074,2024-12-06T20:31:16.142Z,1459.69,81.04411,2025-04-09T01:45:22.546Z,,2025-07-06T13:01:27.985Z
rocket-pool-eth,reth,Rocket Pool ETH,https://coin-images.coingecko.com/coins/images/20764/large/reth.png?1696520159,2872.16,1185657707,84,1185657707,778744.0,2877.27,2836.97,3.08,0.10745,582034.0,0.04911,412979.8444744185,412979.8444744185,,4814.31,-40.34571,2021-12-01T08:03:50.749Z,887.26,223.68541,2022-06-18T20:55:45.957Z,,2025-07-06T13:01:30.981Z
fartcoin,fartcoin,Fartcoin,https://coin-images.coingecko.com/coins/images/50891/large/fart.jpg?1729503972,1.16,1164269963,85,1164269963,70100658.0,1.2,1.16,-0.027348268351101712,-2.2953,-30388079.120939255,-2.54366,999991004.065142,999991004.065142,1000000000.0,2.48,-53.09404,2025-01-19T20:41:07.782Z,0.02002855,5705.40693,2024-10-30T07:56:04.381Z,,2025-07-06T13:01:26.848Z
flare-networks,flr,Flare,https://coin-images.coingecko.com/coins/images/28624/large/FLR-icon200x200.png?1696527609,0.01667822,1155969316,86,1725663266,4170152.0,0.01685387,0.0165495,-2.6006363831588e-05,-0.15569,20494505.0,1.80493,69408949865.54002,103615618080.7666,,0.150073,-88.92852,2023-01-10T03:14:05.921Z,0.00827405,100.81217,2023-10-19T03:35:41.663Z,,2025-07-06T13:01:27.317Z
spx6900,spx,SPX6900,https://coin-images.coingecko.com/coins/images/31401/large/centeredcoin_%281%29.png?1737048493,1.23,1146746476,87,1146746476,27912751.0,1.24,1.2,-0.009035528186356778,-0.7275,-9241634.957779884,-0.79946,930993086.0063922,930993086.0063922,1000000000.0,1.73,-28.996,2025-06-11T15:05:38.084Z,0.00131808,93264.07232,2024-02-04T19:12:19.110Z,,2025-07-06T13:01:32.777Z
injective-protocol,inj,Injective,https://coin-images.coingecko.com/coins/images/12882/large/Other_200x200.png?1738782212,10.84,1058745696,88,1083368270,65501221.0,10.86,10.41,0.290283,2.7527,27950295.0,2.71153,97727220.33,100000000.0,,52.62,-79.43453,2024-03-14T15:06:22.124Z,0.657401,1546.1327,2020-11-03T16:19:30.576Z,,2025-07-06T13:01:28.147Z
polygon-bridged-usdt-polygon,usdt,Polygon Bridged USDT (Polygon),https://coin-images.coingecko.com/coins/images/35023/large/USDT.png?1707233644,1.0,1056926703,89,1056926703,16964062.0,1.0,0.999929,-5.9556575010555e-05,-0.00595,11251.14,0.00106,1056857732.521592,1056857732.521592,,1.027,-2.59351,2024-04-14T06:51:56.926Z,0.945933,5.73199,2024-12-05T22:30:30.789Z,,2025-07-06T13:01:31.334Z
xdce-crowd-sale,xdc,XDC Network,https://coin-images.coingecko.com/coins/images/2912/large/xdc-icon.png?1696503661,0.064437,1043842469,90,2445282055,21693896.0,0.064591,0.061739,0.00238143,3.83758,37416931.0,3.7178,16222663232.2,38002848559.2,,0.192754,-66.5722,2021-08-21T04:39:48.324Z,0.00039532,16199.14482,2019-07-22T00:00:00.000Z,"{'times': 2.399851174848411, 'currency': 'eth', 'percentage': 239.98511748484108}",2025-07-06T13:01:33.585Z
celestia,tia,Celestia,https://coin-images.coingecko.com/coins/images/31967/large/tia.jpg?1696530772,1.49,1039814030,91,1685465591,56683253.0,1.49,1.45,0.0047719,0.32148,4029869.0,0.38906,699010656.800638,1133047232.876325,,20.85,-92.88471,2024-02-10T14:30:02.495Z,1.32,12.06091,2025-06-22T20:21:50.444Z,,2025-07-06T13:01:25.334Z
virtual-protocol,virtual,Virtuals Protocol,https://coin-images.coingecko.com/coins/images/34057/large/LOGOMARK.png?1708356054,1.55,1015823921,92,1551071477,99179443.0,1.56,1.52,-0.001136788577467573,-0.07322,-1458958.5859063864,-0.14342,654917543.3078747,1000000000.0,1000000000.0,5.07,-69.41907,2025-01-02T06:15:38.599Z,0.00748604,20590.87788,2024-01-23T20:55:21.653Z,,2025-07-06T13:01:35.141Z
pudgy-penguins,pengu,Pudgy Penguins,https://coin-images.coingecko.com/coins/images/52622/large/PUDGY_PENGUINS_PENGU_PFP.png?1733809110,0.01596539,1002310445,93,1223369452,212352409.0,0.01662608,0.0154119,-6.3931425082632e-05,-0.39884,-5539357.015231371,-0.54962,62860396090.0,76724221264.27525,88888888888.0,0.068447,-76.82778,2024-12-17T13:05:22.873Z,0.00371517,326.91525,2025-04-09T01:31:57.832Z,,2025-07-06T13:01:30.889Z
binance-bridged-usdc-bnb-smart-chain,usdc,Binance Bridged USDC (BNB Smart Chain),https://coin-images.coingecko.com/coins/images/35220/large/USDC.jpg?1707919050,0.99985,999089323,94,999089323,205438481.0,1.002,0.997827,0.00011859,0.01186,361075.0,0.03615,998999979.839804,998999979.839804,,1.031,-3.01288,2024-03-05T20:15:29.285Z,0.942892,6.05626,2024-12-05T22:30:25.440Z,,2025-07-06T13:01:35.644Z
blockstack,stx,Stacks,https://coin-images.coingecko.com/coins/images/2069/large/Stacks_Logo_png.png?1709979332,0.652441,998938243,95,998938243,14192437.0,0.651526,0.636071,0.00874802,1.35904,13224535.0,1.34162,1533227364.47772,1533227364.47772,1818000000.0,3.86,-83.12324,2024-04-01T12:34:58.342Z,0.04559639,1330.31588,2020-03-13T02:29:26.415Z,"{'times': 4.4370065081601116, 'currency': 'usd', 'percentage': 443.70065081601115}",2025-07-06T13:01:24.685Z
sonic-3,s,Sonic,https://coin-images.coingecko.com/coins/images/38108/large/200x200_Sonic_Logo.png?1734679256,0.309185,995669664,96,995669664,35675442.0,0.310489,0.302492,-0.000703154387453941,-0.22691,-3646664.239995718,-0.36492,3222625000.0,3222625000.0,,1.029,-70.06208,2025-01-04T21:35:44.705Z,0.250194,23.18571,2025-06-22T19:45:12.848Z,,2025-07-06T13:01:32.735Z
mantle-staked-ether,meth,Mantle Staked Ether,https://coin-images.coingecko.com/coins/images/33345/large/symbol_transparent_bg.png?1701697066,2691.5,956194749,97,956194749,514747.0,2707.91,2658.67,-2.6819601299725946,-0.09955,-1714653.5894469023,-0.179,355215.091741279,355215.091741279,,4729.53,-42.89978,2024-03-27T05:26:27.333Z,1485.62,81.78066,2025-04-09T01:32:38.082Z,,2025-07-06T13:01:29.331Z
syrupusdc,syrupusdc,SyrupUSDC,https://coin-images.coingecko.com/coins/images/54658/large/SyrupUSDCO.png?1748850129,1.11,946484830,98,946484830,5579235.0,1.11,1.11,0.00029583,0.02665,8488048.0,0.90491,852452669.024569,852452669.024569,,1.11,-0.00898,2025-07-06T12:30:37.083Z,1.07,3.7818,2025-03-03T14:41:05.273Z,,2025-07-06T13:01:32.285Z
stakewise-v3-oseth,oseth,StakeWise Staked ETH,https://coin-images.coingecko.com/coins/images/33117/large/Frame_27513839.png?1700732599,2647.55,946307940,99,946307940,1412.21,2653.24,2615.02,3.53,0.13364,1233202.0,0.13049,357623.344305,357623.344305,,4228.59,-37.36639,2024-12-06T20:32:35.136Z,1459.73,81.439,2025-04-09T01:32:44.161Z,,2025-07-06T13:01:32.049Z
optimism,op,Optimism,https://coin-images.coingecko.com/coins/images/25244/large/Optimism.png?1696524385,0.537113,941099590,100,2306827056,98066671.0,0.537102,0.519797,0.00761772,1.43868,13527169.0,1.45834,1752186819.0,4294967296.0,4294967296.0,4.84,-88.95104,2024-03-06T08:35:50.817Z,0.402159,33.09306,2022-06-18T20:54:52.178Z,,2025-07-06T13:01:30.084Z
